frequency,magnetic_field,rho,total_power,TE11_power
18331968397.59731,0.7,0.002008562756757496,1.925378840403798e-15,1.473984488937284e-15
18229926070.91183,0.7,0.003552995867529605,1.496106158109323e-15,1.01712204245226e-15
18661872765.1104,0.7,0.004658421934573838,5.610694440738003e-16,4.286607284024265e-16
19012490321.50289,0.7,0.004878104571794698,2.801644647852387e-16,2.400891345805879e-16
18580753590.64655,0.7,0.001864324691670168,1.523048677303881e-15,1.208763010639626e-15
18710293507.04899,0.7,0.0030684089763355,9.683313305350329e-16,7.69604290808398e-16
18792328104.23748,0.7,0.002438918058228743,1.011905609438513e-15,8.365835369609682e-16
18686660227.25641,0.7,0.003567997378113055,8.421217019191635e-16,6.631853790146927e-16
18844813109.83907,0.7,0.002758187573926276,8.609062993555139e-16,7.157958701770289e-16
18884792489.40251,0.7,0.003005075848382149,7.501991431572486e-16,6.280941002573171e-16
18957138566.88604,0.7,0.003861267502236905,4.841760475914626e-16,4.126243668480565e-16
18605752429.66917,0.7,0.002827987211777376,1.207210210551999e-15,9.299932397776652e-16
18802585509.43151,0.7,0.003398320947186556,7.535622723121184e-16,6.143064814422004e-16
18325664799.03961,0.7,0.003407404165269154,1.418505676951315e-15,9.943425827492604e-16
18065215943.21836,0.7,0.004232341963810764,1.286722066591264e-15,8.695416427196514e-16
18737375625.86102,0.7,0.004643020826271357,5.040224855546435e-16,3.960330990221622e-16
18938377607.94953,0.7,0.0005062248458250143,9.652128591234326e-16,9.155181152348572e-16
18385037412.3769,0.7,0.001611504114531076,1.860547689174588e-15,1.518191181687921e-15
18263753299.43542,0.7,0.003255201785407005,1.615889854132059e-15,1.103035692794876e-15
18934692446.716,0.7,0.003471736672715283,5.872211233440348e-16,4.970478419652853e-16
18326011325.19793,0.7,0.003326810372655612,1.461823403128253e-15,1.023090247324217e-15
18347490769.16883,0.7,0.004554051815199786,8.187601908680252e-16,6.068812676766161e-16
18895046483.47868,0.7,0.002964417468747266,7.461665823869837e-16,6.268945236682382e-16
18416506106.07967,0.7,0.004129289203303244,9.244208560720468e-16,6.907333582246397e-16
18984335500.27306,0.7,0.003742076090390376,4.82562174148213e-16,4.141882242915967e-16
18666574470.12951,0.7,0.002519975843870774,1.199395209432983e-15,9.503108296745544e-16
18163125282.63302,0.7,0.004033952112795342,1.285751332410964e-15,8.825115375539257e-16
18684234886.7323,0.7,0.003964439745142058,7.228835639400301e-16,5.679766635636333e-16
18121041767.80017,0.7,0.002686914648000737,2.253475818312758e-15,1.468689244208908e-15
19051333878.70044,0.7,0.004454202281496181,3.111353818538141e-16,2.718936193591577e-16
18350054588.38546,0.7,0.004111485124380004,1.006430587958235e-15,7.369681357616322e-16
18279811830.37656,0.7,0.001435710759169997,2.086479194449398e-15,1.70283276713152e-15
18416128552.29044,0.7,0.004046791419812581,9.619033871894851e-16,7.157273019117502e-16
